serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,WinKS,1,0.0072277985247047654,19
AAPL,WinKS,2,0.00691695328879462,22
AAPL,WinKS,3,0.006867008472271141,22
AAPL,WinKS,4,0.006748762072520674,21
AAPL,WinKS,5,0.007083364668364198,21
AAPL,WinKS,6,0.007056233612471605,20
AAPL,WinKS,7,0.006792049405259867,19
AAPL,WinKS,8,0.007037071574875321,21
AAPL,WinKS,9,0.006954156959380379,22
AAPL,WinKS,10,0.0069756422148376015,20
AAPL,LR + KSWIN,1,0.006715413620670206,20
AAPL,LR + KSWIN,2,0.006851115998166535,20
AAPL,LR + KSWIN,3,0.007528784011682141,21
AAPL,LR + KSWIN,4,0.006842661301052214,20
AAPL,LR + KSWIN,5,0.006865746166748707,20
AAPL,LR + KSWIN,6,0.006930293705133961,18
AAPL,LR + KSWIN,7,0.006773743512470507,20
AAPL,LR + KSWIN,8,0.0068219606994278,20
AAPL,LR + KSWIN,9,0.00706998350094921,19
AAPL,LR + KSWIN,10,0.006764233091064302,20
B3SA3.SA,WinKS,1,0.03718439502543071,6
B3SA3.SA,WinKS,2,0.03204648794044885,6
B3SA3.SA,WinKS,3,0.03652990737650664,8
B3SA3.SA,WinKS,4,0.032510978096748,6
B3SA3.SA,WinKS,5,0.0386672799680401,6
B3SA3.SA,WinKS,6,0.03391397298245346,5
B3SA3.SA,WinKS,7,0.031441310538443956,5
B3SA3.SA,WinKS,8,0.032102841059403905,5
B3SA3.SA,WinKS,9,0.035726577164575314,7
B3SA3.SA,WinKS,10,0.03226897932053821,6
B3SA3.SA,LR + KSWIN,1,0.0367298824817532,6
B3SA3.SA,LR + KSWIN,2,0.03213377403380415,4
B3SA3.SA,LR + KSWIN,3,0.03591393123343445,5
B3SA3.SA,LR + KSWIN,4,0.03310104510805182,6
B3SA3.SA,LR + KSWIN,5,0.03892208683849037,8
B3SA3.SA,LR + KSWIN,6,0.03418209349560873,7
B3SA3.SA,LR + KSWIN,7,0.030993394356631628,5
B3SA3.SA,LR + KSWIN,8,0.033806401399452506,4
B3SA3.SA,LR + KSWIN,9,0.036063981127630845,7
B3SA3.SA,LR + KSWIN,10,0.03289630389821208,7
IXIC,WinKS,1,0.008367504650090049,20
IXIC,WinKS,2,0.008180632424233737,20
IXIC,WinKS,3,0.008402100878714685,20
IXIC,WinKS,4,0.009813765742796824,23
IXIC,WinKS,5,0.009197533297022619,21
IXIC,WinKS,6,0.008315134906989695,25
IXIC,WinKS,7,0.0077151587900125725,22
IXIC,WinKS,8,0.00815258254170744,21
IXIC,WinKS,9,0.008517503086927822,23
IXIC,WinKS,10,0.009044064909685406,23
IXIC,LR + KSWIN,1,0.00809023412068066,21
IXIC,LR + KSWIN,2,0.008656392586947337,20
IXIC,LR + KSWIN,3,0.00847888423834144,24
IXIC,LR + KSWIN,4,0.008006199194365972,19
IXIC,LR + KSWIN,5,0.00813944905931757,20
IXIC,LR + KSWIN,6,0.00788007737916282,21
IXIC,LR + KSWIN,7,0.00808906213950349,21
IXIC,LR + KSWIN,8,0.008255510630391101,23
IXIC,LR + KSWIN,9,0.008638246042104348,20
IXIC,LR + KSWIN,10,0.00798208712986258,20
DJI,WinKS,1,0.014595496273866384,14
DJI,WinKS,2,0.01408490794722188,14
DJI,WinKS,3,0.01387986917241955,14
DJI,WinKS,4,0.013199866592206599,13
DJI,WinKS,5,0.013358291941551134,16
DJI,WinKS,6,0.013819012576029896,16
DJI,WinKS,7,0.013362466010829977,15
DJI,WinKS,8,0.014533698430246628,15
DJI,WinKS,9,0.013442547309496632,15
DJI,WinKS,10,0.013475717932230067,12
DJI,LR + KSWIN,1,0.012521933867898653,13
DJI,LR + KSWIN,2,0.014395124101149102,14
DJI,LR + KSWIN,3,0.013825065177698562,12
DJI,LR + KSWIN,4,0.01371456644568996,15
DJI,LR + KSWIN,5,0.013848954724468034,14
DJI,LR + KSWIN,6,0.013046471512009376,14
DJI,LR + KSWIN,7,0.012509974156451867,15
DJI,LR + KSWIN,8,0.013618129479527194,15
DJI,LR + KSWIN,9,0.013321222700461596,15
DJI,LR + KSWIN,10,0.014196183426021304,13
GSPC,WinKS,1,0.0053860410991381415,41
GSPC,WinKS,2,0.0058773332356988625,34
GSPC,WinKS,3,0.005891880842075626,43
GSPC,WinKS,4,0.006380945063247843,41
GSPC,WinKS,5,0.005434038241420768,37
GSPC,WinKS,6,0.005348435200944403,40
GSPC,WinKS,7,0.005492695929915375,39
GSPC,WinKS,8,0.005622160080848645,42
GSPC,WinKS,9,0.005798803347486264,37
GSPC,WinKS,10,0.005552291525004876,43
GSPC,LR + KSWIN,1,0.00607051875963226,37
GSPC,LR + KSWIN,2,0.0055148998007746915,40
GSPC,LR + KSWIN,3,0.006347973347788579,37
GSPC,LR + KSWIN,4,0.00579378055110657,39
GSPC,LR + KSWIN,5,0.005783559563466529,39
GSPC,LR + KSWIN,6,0.005592820076663025,39
GSPC,LR + KSWIN,7,0.0054743285184769026,36
GSPC,LR + KSWIN,8,0.005539000060965307,36
GSPC,LR + KSWIN,9,0.005613016653383602,37
GSPC,LR + KSWIN,10,0.005643557390564026,36
BVSP,WinKS,1,0.01615997127411635,16
BVSP,WinKS,2,0.01666581940753869,15
BVSP,WinKS,3,0.017436120850594806,13
BVSP,WinKS,4,0.016165218361127047,15
BVSP,WinKS,5,0.01624921736676598,15
BVSP,WinKS,6,0.016277748370597613,16
BVSP,WinKS,7,0.017352905010743273,13
BVSP,WinKS,8,0.016272731070138706,15
BVSP,WinKS,9,0.017204344876888312,12
BVSP,WinKS,10,0.016202231450014763,13
BVSP,LR + KSWIN,1,0.01647742484520074,13
BVSP,LR + KSWIN,2,0.016000152468379637,15
BVSP,LR + KSWIN,3,0.01628132397720555,15
BVSP,LR + KSWIN,4,0.016249174604135778,14
BVSP,LR + KSWIN,5,0.016375878457027367,14
BVSP,LR + KSWIN,6,0.016466228819927205,14
BVSP,LR + KSWIN,7,0.015961228886898784,13
BVSP,LR + KSWIN,8,0.016792270699676107,12
BVSP,LR + KSWIN,9,0.016258194623897878,13
BVSP,LR + KSWIN,10,0.01758275222733856,11
USDBRLX,WinKS,1,0.02223451104869952,9
USDBRLX,WinKS,2,0.02301458468862874,8
USDBRLX,WinKS,3,0.023482200203761926,8
USDBRLX,WinKS,4,0.02164590748118483,8
USDBRLX,WinKS,5,0.020118562247675654,9
USDBRLX,WinKS,6,0.02366753972941719,8
USDBRLX,WinKS,7,0.022827500127182185,9
USDBRLX,WinKS,8,0.022853353573621945,9
USDBRLX,WinKS,9,0.02241712471550605,10
USDBRLX,WinKS,10,0.02287625279410085,9
USDBRLX,LR + KSWIN,1,0.020249010602159074,9
USDBRLX,LR + KSWIN,2,0.02311399738892152,9
USDBRLX,LR + KSWIN,3,0.020428218620262843,9
USDBRLX,LR + KSWIN,4,0.022876178817093598,10
USDBRLX,LR + KSWIN,5,0.022349180340445567,10
USDBRLX,LR + KSWIN,6,0.021433416145239595,8
USDBRLX,LR + KSWIN,7,0.020607061782190766,9
USDBRLX,LR + KSWIN,8,0.022858420023225093,10
USDBRLX,LR + KSWIN,9,0.02238594802678011,9
USDBRLX,LR + KSWIN,10,0.019976123572574788,9
