serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,WinKS,1,0.006652010205190225,19
AAPL,WinKS,2,0.006599689016522613,22
AAPL,WinKS,3,0.006520293337419356,22
AAPL,WinKS,4,0.0065456746773158705,21
AAPL,WinKS,5,0.006566680410111808,21
AAPL,WinKS,6,0.006585939476948594,20
AAPL,WinKS,7,0.006526413103098857,19
AAPL,WinKS,8,0.006553709191825445,21
AAPL,WinKS,9,0.006552354931796583,22
AAPL,WinKS,10,0.006647141917037995,20
AAPL,WinKS,11,0.006551621057088214,21
AAPL,WinKS,12,0.006729731631176702,21
AAPL,WinKS,13,0.006559723980721304,21
AAPL,WinKS,14,0.006622365217149142,21
AAPL,WinKS,15,0.006536429110442821,24
AAPL,WinKS,16,0.006526961461747444,21
AAPL,WinKS,17,0.00669440416682866,20
AAPL,WinKS,18,0.006537979026237715,20
AAPL,WinKS,19,0.006587313008672804,22
AAPL,WinKS,20,0.00651928512319245,21
AAPL,WinKS,21,0.0065603496554222,20
AAPL,WinKS,22,0.0065924274961567395,19
AAPL,WinKS,23,0.006535479950034536,22
AAPL,WinKS,24,0.006617417512550432,21
AAPL,WinKS,25,0.006598058991162865,20
AAPL,WinKS,26,0.006600035153190679,21
AAPL,WinKS,27,0.006610865644105699,19
AAPL,WinKS,28,0.00658972726638238,20
AAPL,WinKS,29,0.006649754684822004,20
AAPL,WinKS,30,0.0066243608649103865,21
AAPL,LR + KSWIN,1,0.006715413620670206,20
AAPL,LR + KSWIN,2,0.006851115998166535,20
AAPL,LR + KSWIN,3,0.007528784011682141,21
AAPL,LR + KSWIN,4,0.006842661301052214,20
AAPL,LR + KSWIN,5,0.006865746166748707,20
AAPL,LR + KSWIN,6,0.006930293705133961,18
AAPL,LR + KSWIN,7,0.006773743512470507,20
AAPL,LR + KSWIN,8,0.0068219606994278,20
AAPL,LR + KSWIN,9,0.00706998350094921,19
AAPL,LR + KSWIN,10,0.006764233091064302,20
AAPL,LR + KSWIN,11,0.00686070854760151,20
AAPL,LR + KSWIN,12,0.00679031904258617,20
AAPL,LR + KSWIN,13,0.0069591073757226595,20
AAPL,LR + KSWIN,14,0.0068536875481207465,18
AAPL,LR + KSWIN,15,0.006841594576938432,20
AAPL,LR + KSWIN,16,0.006956634147653261,21
AAPL,LR + KSWIN,17,0.006814045508094952,19
AAPL,LR + KSWIN,18,0.006889178573638247,20
AAPL,LR + KSWIN,19,0.0067512353206865255,20
AAPL,LR + KSWIN,20,0.006678502854347606,19
AAPL,LR + KSWIN,21,0.0069153129309815166,21
AAPL,LR + KSWIN,22,0.0072105962500003465,20
AAPL,LR + KSWIN,23,0.006834514056736174,20
AAPL,LR + KSWIN,24,0.007342455955530462,20
AAPL,LR + KSWIN,25,0.006710818644350965,20
AAPL,LR + KSWIN,26,0.007025220010546157,21
AAPL,LR + KSWIN,27,0.006891075246182033,21
AAPL,LR + KSWIN,28,0.00690490296956374,20
AAPL,LR + KSWIN,29,0.006738333281349474,19
AAPL,LR + KSWIN,30,0.006869344817663329,20
B3SA3.SA,WinKS,1,0.03050132249975593,6
B3SA3.SA,WinKS,2,0.030015597679136932,6
B3SA3.SA,WinKS,3,0.0290840442448317,8
B3SA3.SA,WinKS,4,0.02964683199431535,6
B3SA3.SA,WinKS,5,0.030924251913818195,6
B3SA3.SA,WinKS,6,0.029838105476700915,5
B3SA3.SA,WinKS,7,0.03008552038403188,5
B3SA3.SA,WinKS,8,0.030474416134088175,5
B3SA3.SA,WinKS,9,0.02944765777001428,7
B3SA3.SA,WinKS,10,0.02994393459557392,6
B3SA3.SA,WinKS,11,0.02971174133999955,8
B3SA3.SA,WinKS,12,0.029298633526619853,8
B3SA3.SA,WinKS,13,0.02959081740005177,7
B3SA3.SA,WinKS,14,0.02951663158535268,7
B3SA3.SA,WinKS,15,0.029578745639361494,8
B3SA3.SA,WinKS,16,0.029468063413945145,7
B3SA3.SA,WinKS,17,0.03007730723386268,5
B3SA3.SA,WinKS,18,0.029100652647972316,8
B3SA3.SA,WinKS,19,0.03022369067493784,5
B3SA3.SA,WinKS,20,0.02962019417606765,7
B3SA3.SA,WinKS,21,0.029525334618600158,6
B3SA3.SA,WinKS,22,0.029355442399653823,7
B3SA3.SA,WinKS,23,0.02975021659924583,7
B3SA3.SA,WinKS,24,0.029206904511736343,6
