serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,LR + KSWIN,1,0.006715413620670206,20
AAPL,LR + KSWIN,2,0.006851115998166535,20
AAPL,LR + KSWIN,3,0.007528784011682141,21
AAPL,LR + KSWIN,4,0.006842661301052214,20
AAPL,LR + KSWIN,5,0.006865746166748707,20
AAPL,LR + KSWIN,6,0.006930293705133961,18
AAPL,LR + KSWIN,7,0.006773743512470507,20
AAPL,LR + KSWIN,8,0.0068219606994278,20
AAPL,LR + KSWIN,9,0.00706998350094921,19
AAPL,LR + KSWIN,10,0.006764233091064302,20
AAPL,LR + KSWIN,11,0.00686070854760151,20
AAPL,LR + KSWIN,12,0.00679031904258617,20
AAPL,LR + KSWIN,13,0.0069591073757226595,20
AAPL,LR + KSWIN,14,0.0068536875481207465,18
AAPL,LR + KSWIN,15,0.006841594576938432,20
AAPL,LR + KSWIN,16,0.006956634147653261,21
AAPL,LR + KSWIN,17,0.006814045508094952,19
AAPL,LR + KSWIN,18,0.006889178573638247,20
AAPL,LR + KSWIN,19,0.0067512353206865255,20
AAPL,LR + KSWIN,20,0.006678502854347606,19
AAPL,LR + KSWIN,21,0.0069153129309815166,21
AAPL,LR + KSWIN,22,0.0072105962500003465,20
AAPL,LR + KSWIN,23,0.006834514056736174,20
AAPL,LR + KSWIN,24,0.007342455955530462,20
AAPL,LR + KSWIN,25,0.006710818644350965,20
AAPL,LR + KSWIN,26,0.007025220010546157,21
AAPL,LR + KSWIN,27,0.006891075246182033,21
AAPL,LR + KSWIN,28,0.00690490296956374,20
AAPL,LR + KSWIN,29,0.006738333281349474,19
AAPL,LR + KSWIN,30,0.006869344817663329,20
AAPL,WinKS - Retrain Unique,1,0.006527870959293765,20
AAPL,WinKS - Retrain Unique,2,0.006549843483017859,20
AAPL,WinKS - Retrain Unique,3,0.006691307607711807,21
AAPL,WinKS - Retrain Unique,4,0.006557358884261962,20
AAPL,WinKS - Retrain Unique,5,0.006574612802184442,20
AAPL,WinKS - Retrain Unique,6,0.006613347736508627,17
AAPL,WinKS - Retrain Unique,7,0.00650358695453517,20
AAPL,WinKS - Retrain Unique,8,0.00658742627003635,20
AAPL,WinKS - Retrain Unique,9,0.0066149429711017,19
AAPL,WinKS - Retrain Unique,10,0.006592735830766863,19
AAPL,WinKS - Retrain Unique,11,0.006542101724723731,20
AAPL,WinKS - Retrain Unique,12,0.0065233833818113705,20
AAPL,WinKS - Retrain Unique,13,0.006492940267426362,21
AAPL,WinKS - Retrain Unique,14,0.006591832148477463,18
AAPL,WinKS - Retrain Unique,15,0.006542655408140634,20
AAPL,WinKS - Retrain Unique,16,0.006546176200107486,21
AAPL,WinKS - Retrain Unique,17,0.006551368421644613,20
AAPL,WinKS - Retrain Unique,18,0.006560004230923857,20
AAPL,WinKS - Retrain Unique,19,0.006498206319888919,20
AAPL,WinKS - Retrain Unique,20,0.00650025170356631,19
AAPL,WinKS - Retrain Unique,21,0.006527223236634533,21
AAPL,WinKS - Retrain Unique,22,0.006631923773833836,20
AAPL,WinKS - Retrain Unique,23,0.006526813942238424,20
AAPL,WinKS - Retrain Unique,24,0.0066881811448637795,20
AAPL,WinKS - Retrain Unique,25,0.006491778973460468,20
AAPL,WinKS - Retrain Unique,26,0.006548608465562377,21
AAPL,WinKS - Retrain Unique,27,0.006592322610205918,21
AAPL,WinKS - Retrain Unique,28,0.006553072556821555,20
AAPL,WinKS - Retrain Unique,29,0.006539786330716902,19
AAPL,WinKS - Retrain Unique,30,0.0065384598663455265,20
AAPL,WinKS - Retrain Incremental,1,0.006919688760696916,20
AAPL,WinKS - Retrain Incremental,2,0.007115610213330717,20
AAPL,WinKS - Retrain Incremental,3,0.00745446092818342,21
AAPL,WinKS - Retrain Incremental,4,0.00703829733679041,20
AAPL,WinKS - Retrain Incremental,5,0.00710320282805468,20
AAPL,WinKS - Retrain Incremental,6,0.00709885299198116,17
AAPL,WinKS - Retrain Incremental,7,0.006993669160070991,20
AAPL,WinKS - Retrain Incremental,8,0.00713617796365024,20
AAPL,WinKS - Retrain Incremental,9,0.007448861251896525,19
AAPL,WinKS - Retrain Incremental,10,0.01089961967511955,19
AAPL,WinKS - Retrain Incremental,11,0.007134978503465739,20
AAPL,WinKS - Retrain Incremental,12,0.007185597428937785,20
AAPL,WinKS - Retrain Incremental,13,0.007245362206593082,21
AAPL,WinKS - Retrain Incremental,14,0.0078966254876736,18
AAPL,WinKS - Retrain Incremental,15,0.007059210358667964,20
AAPL,WinKS - Retrain Incremental,16,0.007259164905156983,21
AAPL,WinKS - Retrain Incremental,17,0.007631196421168042,20
AAPL,WinKS - Retrain Incremental,18,0.006994468150189772,20
AAPL,WinKS - Retrain Incremental,19,0.00715363667687257,20
AAPL,WinKS - Retrain Incremental,20,0.007048981045512092,19
AAPL,WinKS - Retrain Incremental,21,0.0076368971371410955,21
AAPL,WinKS - Retrain Incremental,22,0.0073868738655474,20
AAPL,WinKS - Retrain Incremental,23,0.007453065682374859,20
