serie,modelo,repeticao,mae,qtd_deteccoes
BVSP,LOR - unique - 3 - lags,1,0.015519360734835284,15
BVSP,LOR - unique - 3 - lags,2,0.015747481441972994,11
BVSP,LOR - unique - 3 - lags,3,0.01644349192559378,12
BVSP,LOR - unique - 3 - lags,4,0.015755739853339296,12
BVSP,LOR - unique - 3 - lags,5,0.015504259259890407,13
BVSP,LOR - unique - 3 - lags,6,0.015526863072119371,14
BVSP,LOR - unique - 3 - lags,7,0.01567606793760257,13
BVSP,LOR - unique - 3 - lags,8,0.01576755360283707,13
BVSP,LOR - unique - 3 - lags,9,0.01563006858773687,12
BVSP,LOR - unique - 3 - lags,10,0.015725005466094948,13
BVSP,LOR - unique - 3 - lags,11,0.01584712502030039,13
BVSP,LOR - unique - 3 - lags,12,0.015680529452931535,14
BVSP,LOR - unique - 3 - lags,13,0.015506070451715006,14
BVSP,LOR - unique - 3 - lags,14,0.01570630168528622,12
BVSP,LOR - unique - 3 - lags,15,0.01600645528126325,13
BVSP,LOR - unique - 3 - lags,16,0.01649806916423131,11
BVSP,LOR - unique - 3 - lags,17,0.015839734803697613,13
BVSP,LOR - unique - 3 - lags,18,0.015514548170770193,15
BVSP,LOR - unique - 3 - lags,19,0.01581657090654436,14
BVSP,LOR - unique - 3 - lags,20,0.016310572922070492,13
BVSP,LOR - unique - 3 - lags,21,0.01563100416942172,13
BVSP,LOR - unique - 3 - lags,22,0.015561623278063649,16
BVSP,LOR - unique - 3 - lags,23,0.015603776433891785,12
BVSP,LOR - unique - 3 - lags,24,0.015505548616182922,15
BVSP,LOR - unique - 3 - lags,25,0.01545154108270293,15
BVSP,LOR - unique - 3 - lags,26,0.015888443327877717,13
BVSP,LOR - unique - 3 - lags,27,0.01565264684836056,13
BVSP,LOR - unique - 3 - lags,28,0.015772226667924924,14
BVSP,LOR - unique - 3 - lags,29,0.015600325983821087,14
BVSP,LOR - unique - 3 - lags,30,0.015864555198424817,12
BVSP,LOR - incremental - 3 - lags,1,0.01641604312512124,15
BVSP,LOR - incremental - 3 - lags,2,0.01631020245161004,11
BVSP,LOR - incremental - 3 - lags,3,0.017068478155199587,12
BVSP,LOR - incremental - 3 - lags,4,0.01655343920191844,12
BVSP,LOR - incremental - 3 - lags,5,0.016765010254827805,13
BVSP,LOR - incremental - 3 - lags,6,0.016157660208842982,14
BVSP,LOR - incremental - 3 - lags,7,0.017204799034497505,13
BVSP,LOR - incremental - 3 - lags,8,0.016763382837059117,13
BVSP,LOR - incremental - 3 - lags,9,0.01617068774362393,12
BVSP,LOR - incremental - 3 - lags,10,0.016298292588905642,13
BVSP,LOR - incremental - 3 - lags,11,0.017970187180974047,13
BVSP,LOR - incremental - 3 - lags,12,0.016269476894892904,14
BVSP,LOR - incremental - 3 - lags,13,0.016983876003934854,14
BVSP,LOR - incremental - 3 - lags,14,0.01627227275872405,12
BVSP,LOR - incremental - 3 - lags,15,0.016770007630561627,13
BVSP,LOR - incremental - 3 - lags,16,0.017490442630833665,11
BVSP,LOR - incremental - 3 - lags,17,0.017094609276301614,13
BVSP,LOR - incremental - 3 - lags,18,0.016560313947869703,15
BVSP,LOR - incremental - 3 - lags,19,0.01642277063042817,14
BVSP,LOR - incremental - 3 - lags,20,0.016689463679703618,13
BVSP,LOR - incremental - 3 - lags,21,0.016186408282830637,13
BVSP,LOR - incremental - 3 - lags,22,0.016474022622484024,16
BVSP,LOR - incremental - 3 - lags,23,0.016554465947217035,12
BVSP,LOR - incremental - 3 - lags,24,0.017637938662411763,15
BVSP,LOR - incremental - 3 - lags,25,0.016251661087918274,15
BVSP,LOR - incremental - 3 - lags,26,0.01666516729764632,13
BVSP,LOR - incremental - 3 - lags,27,0.016183123170787985,13
BVSP,LOR - incremental - 3 - lags,28,0.01696753454011325,14
BVSP,LOR - incremental - 3 - lags,29,0.01706948990358311,14
BVSP,LOR - incremental - 3 - lags,30,0.017466998968793546,12
serie,modelo,repeticao,mae,qtd_deteccoes
BVSP,LR + KSWIN - 3 - lags,1,0.01593692322725326,15
BVSP,LR + KSWIN - 3 - lags,2,0.016155526778533675,11
BVSP,LR + KSWIN - 3 - lags,3,0.01749227344181326,12
BVSP,LR + KSWIN - 3 - lags,4,0.016323610541498043,12
BVSP,LR + KSWIN - 3 - lags,5,0.015940135825866848,13
BVSP,LR + KSWIN - 3 - lags,6,0.015997597018412052,14
BVSP,LR + KSWIN - 3 - lags,7,0.016275594810980065,14
BVSP,LR + KSWIN - 3 - lags,8,0.016270875589230998,13
BVSP,LR + KSWIN - 3 - lags,9,0.016259133875771,12
BVSP,LR + KSWIN - 3 - lags,10,0.016293299491764418,13
BVSP,LR + KSWIN - 3 - lags,11,0.016319510933602645,13
BVSP,LR + KSWIN - 3 - lags,12,0.01635103051177095,14
BVSP,LR + KSWIN - 3 - lags,13,0.01578451274826073,14
BVSP,LR + KSWIN - 3 - lags,14,0.016185379524211414,12
BVSP,LR + KSWIN - 3 - lags,15,0.01651652484428476,13
BVSP,LR + KSWIN - 3 - lags,16,0.017433176749526144,11
BVSP,LR + KSWIN - 3 - lags,17,0.016524352584890555,13
BVSP,LR + KSWIN - 3 - lags,18,0.016024178681717575,15
BVSP,LR + KSWIN - 3 - lags,19,0.016592926441912292,14
BVSP,LR + KSWIN - 3 - lags,20,0.0172447161779384,13
BVSP,LR + KSWIN - 3 - lags,21,0.016203604738200598,13
BVSP,LR + KSWIN - 3 - lags,22,0.016216568275647773,16
BVSP,LR + KSWIN - 3 - lags,23,0.01608929336570082,12
BVSP,LR + KSWIN - 3 - lags,24,0.016081594103778317,15
BVSP,LR + KSWIN - 3 - lags,25,0.01654503850117057,14
BVSP,LR + KSWIN - 3 - lags,26,0.01640602754008412,13
BVSP,LR + KSWIN - 3 - lags,27,0.016263821979880626,13
BVSP,LR + KSWIN - 3 - lags,28,0.01649271054511119,14
BVSP,LR + KSWIN - 3 - lags,29,0.01600904043593622,14
BVSP,LR + KSWIN - 3 - lags,30,0.016506273068159372,12
BVSP,LOR - unique - 5 - lags,1,0.015588361135182312,13
