serie,modelo,repeticao,mae,qtd_deteccoes
AAPL,OASIS,1,0.0077725486109762034,24.0
AAPL,OASIS,2,0.0077628522029123525,23.0
AAPL,OASIS,3,0.007749203032261919,24.0
AAPL,OASIS,4,0.007748434736613915,24.0
AAPL,OASIS,5,0.007752676235260576,24.0
AAPL,OASIS,6,0.007772205654024583,24.0
AAPL,OASIS,7,0.007759603149864029,24.0
AAPL,OASIS,8,0.007743761976262034,24.0
AAPL,OASIS,9,0.007750634408677545,25.0
AAPL,OASIS,10,0.0077612969555461726,24.0
AAPL,OASIS,11,0.007774048427176275,23.0
AAPL,OASIS,12,0.007738511840117926,25.0
AAPL,OASIS,13,0.007739590949239194,24.0
AAPL,OASIS,14,0.007750200521742812,24.0
AAPL,OASIS,15,0.007738800628143195,23.0
AAPL,OASIS,16,0.007726939087416811,24.0
AAPL,OASIS,17,0.007768860054979828,24.0
AAPL,OASIS,18,0.00773266409797822,24.0
AAPL,OASIS,19,0.007747584799042947,24.0
AAPL,OASIS,20,0.007740925017118822,24.0
AAPL,OASIS,21,0.007755645825104154,24.0
AAPL,OASIS,22,0.007757966929000492,24.0
AAPL,OASIS,23,0.007721040933248764,24.0
AAPL,OASIS,24,0.007720663762249392,25.0
AAPL,OASIS,25,0.0077699301852316915,24.0
AAPL,OASIS,26,0.007766460619048002,24.0
AAPL,OASIS,27,0.007775937407192049,24.0
AAPL,OASIS,28,0.007741770309655358,25.0
AAPL,OASIS,29,0.007755554636138709,23.0
AAPL,OASIS,30,0.007759160396417434,25.0
AAPL,LR + KSWIN,1,0.007013434987549182,20.0
AAPL,LR + KSWIN,2,0.00709608851086309,21.0
AAPL,LR + KSWIN,3,0.006856615940642699,19.0
AAPL,LR + KSWIN,4,0.007027086775147538,21.0
AAPL,LR + KSWIN,5,0.00677301489215163,21.0
AAPL,LR + KSWIN,6,0.0071649550851446316,18.0
AAPL,LR + KSWIN,7,0.006662145110062615,20.0
AAPL,LR + KSWIN,8,0.007317237894255132,19.0
