serie,modelo,repeticao,mae,qtd_deteccoes
BVSP,OASIS - 5 - time,1,0.017251376328823256,13
BVSP,OASIS - 5 - time,2,0.01723630382451133,13
BVSP,OASIS - 5 - time,3,0.017158030082149802,13
BVSP,OASIS - 5 - time,4,0.01723661934211209,13
BVSP,OASIS - 5 - time,5,0.017199795973612,14
BVSP,OASIS - 5 - time,6,0.017198684571605564,12
BVSP,OASIS - 5 - time,7,0.01711859946690801,14
BVSP,OASIS - 5 - time,8,0.01720360301909282,13
BVSP,OASIS - 5 - time,9,0.017218257985617474,13
BVSP,OASIS - 5 - time,10,0.017123270282399187,13
BVSP,OASIS - 5 - time,11,0.017222298292296243,13
BVSP,OASIS - 5 - time,12,0.01723610610894448,12
BVSP,OASIS - 5 - time,13,0.017235017064834275,12
BVSP,OASIS - 5 - time,14,0.017113768461307965,13
BVSP,OASIS - 5 - time,15,0.017255203239236072,12
BVSP,OASIS - 5 - time,16,0.017197030578606175,13
BVSP,OASIS - 5 - time,17,0.017149961996695624,14
BVSP,OASIS - 5 - time,18,0.01718662610944405,14
BVSP,OASIS - 5 - time,19,0.0172267351457837,13
BVSP,OASIS - 5 - time,20,0.017186565139962324,14
BVSP,OASIS - 5 - time,21,0.017129250511269064,13
BVSP,OASIS - 5 - time,22,0.01722656840499045,11
BVSP,OASIS - 5 - time,23,0.017239087592009116,12
BVSP,OASIS - 5 - time,24,0.01704190339430791,15
BVSP,OASIS - 5 - time,25,0.017211084804986537,13
BVSP,OASIS - 5 - time,26,0.01721563078394733,13
BVSP,OASIS - 5 - time,27,0.01724598243866471,12
BVSP,OASIS - 5 - time,28,0.017181662841457897,13
BVSP,OASIS - 5 - time,29,0.017249711721385567,13
BVSP,OASIS - 5 - time,30,0.017175139737193038,12
BVSP,OASIS - 5 - performance,1,0.017238947901658686,15
BVSP,OASIS - 5 - performance,2,0.017261699615409905,12
BVSP,OASIS - 5 - performance,3,0.017223331819571544,13
BVSP,OASIS - 5 - performance,4,0.01720432478662721,14
BVSP,OASIS - 5 - performance,5,0.017151656987455733,14
BVSP,OASIS - 5 - performance,6,0.01721589111595031,13
BVSP,OASIS - 5 - performance,7,0.0170419223879195,16
BVSP,OASIS - 5 - performance,8,0.017183016068623908,13
BVSP,OASIS - 5 - performance,9,0.01720111810755904,13
BVSP,OASIS - 5 - performance,10,0.01715449506351359,12
BVSP,OASIS - 5 - performance,11,0.017190271580248766,13
BVSP,OASIS - 5 - performance,12,0.017181300959105153,12
BVSP,OASIS - 5 - performance,13,0.017216889282618858,13
BVSP,OASIS - 5 - performance,14,0.017100251871685006,12
BVSP,OASIS - 5 - performance,15,0.017203361064744484,12
BVSP,OASIS - 5 - performance,16,0.01722932882688318,15
BVSP,OASIS - 5 - performance,17,0.017123805206125886,14
BVSP,OASIS - 5 - performance,18,0.0171833237830087,13
BVSP,OASIS - 5 - performance,19,0.017225393542376146,13
BVSP,OASIS - 5 - performance,20,0.017170781426137843,13
BVSP,OASIS - 5 - performance,21,0.01712923703298923,15
BVSP,OASIS - 5 - performance,22,0.01719102803264396,14
BVSP,OASIS - 5 - performance,23,0.017254944988145064,11
BVSP,OASIS - 5 - performance,24,0.01711076667599357,14
BVSP,OASIS - 5 - performance,25,0.01720870611560106,12
